iter	Passed	Remaining
654	5194	42388
655	5204	42395
656	5211	42381
657	5219	42374
658	5227	42370
659	5236	42368
660	5244	42359
661	5254	42365
662	5263	42370
663	5272	42368
664	5275	42326
665	5285	42330
666	5294	42331
667	5304	42337
668	5313	42342
669	5324	42357
670	5335	42372
671	5345	42384
672	5356	42396
673	5366	42407
674	5376	42411
675	5386	42419
676	5396	42432
677	5407	42444
678	5418	42458
679	5426	42455
680	5436	42465
681	5444	42454
682	5452	42446
683	5460	42435
684	5467	42422
685	5475	42413
686	5483	42403
687	5490	42391
688	5498	42380
689	5505	42364
690	5511	42341
691	5518	42330
692	5530	42348
693	5538	42341
694	5545	42330
695	5552	42317
696	5560	42307
697	5568	42294
698	5576	42287
699	5584	42279
700	5591	42270
701	5599	42260
702	5608	42255
703	5615	42247
704	5624	42243
705	5632	42238
706	5641	42238
707	5650	42236
708	5658	42227
709	5666	42220
710	5674	42209
711	5682	42201
712	5690	42198
713	5698	42185
714	5705	42174
715	5713	42168
716	5721	42157
717	5728	42143
718	5736	42131
719	5744	42122
720	5752	42116
721	5760	42109
722	5768	42105
723	5776	42095
724	5785	42097
725	5793	42089
726	5802	42086
727	5811	42083
728	5820	42082
729	5828	42077
730	5969	43026
731	5976	43009
732	5984	42999
733	5991	42984
734	5998	42970
735	6006	42956
736	6013	42943
737	6020	42929
738	6028	42917
739	6036	42906
740	6043	42890
741	6050	42876
742	6057	42861
743	6062	42831
744	6069	42815
745	6077	42803
746	6084	42785
747	6091	42770
748	6097	42746
749	6104	42732
750	6112	42718
751	6118	42702
752	6126	42689
753	6133	42674
754	6141	42663
755	6148	42647
756	6155	42633
757	6162	42617
758	6170	42607
759	6177	42592
760	6185	42579
761	6192	42565
762	6199	42549
763	6206	42535
764	6213	42520
765	6220	42506
766	6227	42487
767	6234	42473
768	6241	42458
769	6249	42446
770	6256	42430
771	6263	42417
772	6270	42400
773	6277	42386
774	6284	42371
775	6291	42354
776	6299	42342
777	6306	42330
778	6313	42315
779	6320	42299
780	6327	42286
781	6334	42270
782	6341	42255
783	6349	42241
784	6356	42226
785	6363	42213
786	6370	42198
787	6377	42185
788	6384	42169
789	6392	42155
790	6399	42145
791	6408	42138
792	6415	42125
793	6423	42113
794	6430	42102
795	6437	42088
796	6445	42079
797	6453	42071
798	6461	42057
799	6468	42048
800	6477	42040
801	6484	42026
802	6492	42020
803	6500	42008
804	6509	42009
805	6517	42000
806	6525	41992
807	6533	41984
808	6541	41974
809	6549	41962
810	6556	41949
811	6563	41938
812	6571	41928
813	6579	41916
814	6587	41910
815	6595	41900
816	6602	41887
817	6610	41876
818	6617	41862
819	6624	41849
820	6632	41840
821	6640	41829
822	6647	41817
823	6655	41808
824	6663	41800
825	6671	41788
826	6680	41785
827	6688	41776
828	6697	41773
829	6704	41762
830	6713	41760
831	6721	41748
832	6730	41746
